Products,Markets,Months,value
CRX500,Canada,Mar-07,604
CRX500,Brazil,Jan-07,570
CRX500,Brazil,Feb-07,585
CRX500,Brazil,Mar-07,581
CRX500,Argentina,Jan-07,593
CRX500,Argentina,Feb-07,593
CRX500,Argentina,Mar-07,601
CRX500,UK,Jan-07,608
CRX500,UK,Feb-07,582
CRX500,UK,Mar-07,578
CRX500,France,Jan-07,582
CRX500,France,Feb-07,609
CRX500,France,Mar-07,600
CRX500,Germany,Jan-07,578
CRX500,Germany,Feb-07,565
CRX500,Germany,Mar-07,566
CRX500,Spain,Jan-07,603
CRX500,Spain,Feb-07,564
CRX500,Spain,Mar-07,595
CRX500,Italy,Jan-07,569
CRX500,Italy,Feb-07,602
CRX500,Italy,Mar-07,606
CRX500,China,Jan-07,606
CRX500,China,Feb-07,594
CRX500,China,Mar-07,598
CRX500,Japan,Jan-07,592
CRX500,Japan,Feb-07,599
CRX500,Japan,Mar-07,577
CRS550,US,Jan-07,780
CRS550,US,Feb-07,792
CRS550,US,Mar-07,792
CRS550,Canada,Jan-07,781
CRS550,Canada,Feb-07,788
CRS550,Canada,Mar-07,775
CRS550,Brazil,Jan-07,805
CRS550,Brazil,Feb-07,799
CRS550,Brazil,Mar-07,770
CRS550,Argentina,Jan-07,761
CRS550,Argentina,Feb-07,768
CRS550,Argentina,Mar-07,774
CRS550,UK,Jan-07,759
CRS550,UK,Feb-07,775
CRS550,UK,Mar-07,760
CRS550,France,Jan-07,794
CRS550,France,Feb-07,799
CRS550,France,Mar-07,790
CRS550,Germany,Jan-07,801
CRS550,Germany,Feb-07,804
CRS550,Germany,Mar-07,771
CRS550,Spain,Jan-07,787
CRS550,Spain,Feb-07,790
CRS550,Spain,Mar-07,772
CRS550,Italy,Jan-07,800
CRS550,Italy,Feb-07,759
CRS550,Italy,Mar-07,763
CRS550,China,Jan-07,778
CRS550,China,Feb-07,760
CRS550,China,Mar-07,784
CRS550,Japan,Jan-07,761
CRS550,Japan,Feb-07,785
CRS550,Japan,Mar-07,760
CRX600,US,Jan-07,791
CRX600,US,Feb-07,801
CRX600,US,Mar-07,785
CRX600,Canada,Jan-07,801
CRX600,Canada,Feb-07,768
CRX600,Canada,Mar-07,762
CRX600,Brazil,Jan-07,773
CRX600,Brazil,Feb-07,796
CRX600,Brazil,Mar-07,792
CRX600,Argentina,Jan-07,789
CRX600,Argentina,Feb-07,756
CRX600,Argentina,Mar-07,799
CRX600,UK,Jan-07,775
CRX600,UK,Feb-07,767
CRX600,UK,Mar-07,803
CRX600,France,Jan-07,803
CRX600,France,Feb-07,792
CRX600,France,Mar-07,782
CRX600,Germany,Jan-07,797
CRX600,Germany,Feb-07,801
CRX600,Germany,Mar-07,768
CRX600,Spain,Jan-07,772
CRX600,Spain,Feb-07,755
CRX600,Spain,Mar-07,794
CRX600,Italy,Jan-07,755
CRX600,Italy,Feb-07,789
CRX600,Italy,Mar-07,797
CRX600,China,Jan-07,801
CRX600,China,Feb-07,803
CRX600,China,Mar-07,789
CRX600,Japan,Jan-07,785
CRX600,Japan,Feb-07,756
CRX600,Japan,Mar-07,790
CRX650,US,Jan-07,966
CRX650,US,Feb-07,982
CRX650,US,Mar-07,998
CRX650,Canada,Jan-07,987
CRX650,Canada,Feb-07,966
CRX650,Canada,Mar-07,978
CRX650,Brazil,Jan-07,999
CRX650,Brazil,Feb-07,987
CRX650,Brazil,Mar-07,960
CRX650,Argentina,Jan-07,994
CRX650,Argentina,Feb-07,986
CRX650,Argentina,Mar-07,980
CRX650,UK,Jan-07,990
CRX650,UK,Feb-07,997
CRX650,UK,Mar-07,993
CRX650,France,Jan-07,985
CRX650,France,Feb-07,959
CRX650,France,Mar-07,994
CRX650,Germany,Jan-07,983
CRX650,Germany,Feb-07,982
CRX650,Germany,Mar-07,960
CRX650,Spain,Jan-07,961
CRX650,Spain,Feb-07,983
CRX650,Spain,Mar-07,965
CRX650,Italy,Jan-07,964
CRX650,Italy,Feb-07,990
CRX650,Italy,Mar-07,953
CRX650,China,Jan-07,963
CRX650,China,Feb-07,986
CRX650,China,Mar-07,952
CRX650,Japan,Jan-07,955
CRX650,Japan,Feb-07,980
CRX650,Japan,Mar-07,994
