machine,day,failure
M-170,Day-18,0
M-170,Day-19,0
M-170,Day-20,0
M-171,Day-01,0
M-171,Day-02,0
M-171,Day-03,0
M-171,Day-04,7
M-171,Day-05,42
M-171,Day-06,40
M-171,Day-07,8
M-171,Day-08,0
M-171,Day-09,0
M-171,Day-10,0
M-171,Day-11,0
M-171,Day-12,0
M-171,Day-13,0
M-171,Day-14,0
M-171,Day-15,0
M-171,Day-16,0
M-171,Day-17,0
M-171,Day-18,0
M-171,Day-19,0
M-171,Day-20,0
M-172,Day-01,0
M-172,Day-02,0
M-172,Day-03,0
M-172,Day-04,0
M-172,Day-05,0
M-172,Day-06,0
M-172,Day-07,0
M-172,Day-08,0
M-172,Day-09,0
M-172,Day-10,0
M-172,Day-11,0
M-172,Day-12,0
M-172,Day-13,8
M-172,Day-14,42
M-172,Day-15,40
M-172,Day-16,8
M-172,Day-17,0
M-172,Day-18,0
M-172,Day-19,0
M-172,Day-20,0
M-173,Day-01,0
M-173,Day-02,0
M-173,Day-03,0
M-173,Day-04,2
M-173,Day-05,49
M-173,Day-06,47
M-173,Day-07,1
M-173,Day-08,0
M-173,Day-09,0
M-173,Day-10,0
M-173,Day-11,0
M-173,Day-12,0
M-173,Day-13,0
M-173,Day-14,0
M-173,Day-15,0
M-173,Day-16,0
M-173,Day-17,0
M-173,Day-18,0
M-173,Day-19,0
M-173,Day-20,0
M-174,Day-01,0
M-174,Day-02,0
M-174,Day-03,0
M-174,Day-04,0
M-174,Day-05,0
M-174,Day-06,0
M-174,Day-07,1
M-174,Day-08,4
M-174,Day-09,18
M-174,Day-10,29
M-174,Day-11,26
M-174,Day-12,14
M-174,Day-13,4
M-174,Day-14,0
M-174,Day-15,0
M-174,Day-16,0
M-174,Day-17,0
M-174,Day-18,0
M-174,Day-19,0
M-174,Day-20,0
M-175,Day-01,0
M-175,Day-02,0
M-175,Day-03,0
M-175,Day-04,0
M-175,Day-05,0
M-175,Day-06,0
M-175,Day-07,0
M-175,Day-08,0
M-175,Day-09,0
M-175,Day-10,0
M-175,Day-11,0
M-175,Day-12,0
M-175,Day-13,0
M-175,Day-14,2
M-175,Day-15,5
M-175,Day-16,15
M-175,Day-17,24
M-175,Day-18,25
M-175,Day-19,16
M-175,Day-20,7
M-176,Day-01,0
M-176,Day-02,0
M-176,Day-03,0
M-176,Day-04,0
M-176,Day-05,0
M-176,Day-06,0
M-176,Day-07,0
M-176,Day-08,0
M-176,Day-09,2
M-176,Day-10,13
M-176,Day-11,35
M-176,Day-12,34
M-176,Day-13,11
M-176,Day-14,2
M-176,Day-15,0
M-176,Day-16,0
M-176,Day-17,0
M-176,Day-18,0
M-176,Day-19,0
M-176,Day-20,0
M-177,Day-01,0
M-177,Day-02,0
M-177,Day-03,0
M-177,Day-04,0
M-177,Day-05,0
M-177,Day-06,0
M-177,Day-07,0
M-177,Day-08,0
M-177,Day-09,0
M-177,Day-10,1
M-177,Day-11,50
M-177,Day-12,46
M-177,Day-13,1
M-177,Day-14,0
M-177,Day-15,0
M-177,Day-16,0
M-177,Day-17,0
M-177,Day-18,0
M-177,Day-19,0
M-177,Day-20,0
M-178,Day-01,0
M-178,Day-02,0
M-178,Day-03,0
M-178,Day-04,0
M-178,Day-05,0
M-178,Day-06,0
M-178,Day-07,0
M-178,Day-08,0
M-178,Day-09,0
M-178,Day-10,0
M-178,Day-11,0
M-178,Day-12,0
M-178,Day-13,0
M-178,Day-14,2
M-178,Day-15,14
M-178,Day-16,34
M-178,Day-17,33
M-178,Day-18,13
M-178,Day-19,1
M-178,Day-20,0
M-179,Day-01,0
M-179,Day-02,0
M-179,Day-03,5
M-179,Day-04,15
M-179,Day-05,29
M-179,Day-06,27
M-179,Day-07,14
M-179,Day-08,4
M-179,Day-09,0
M-179,Day-10,0
M-179,Day-11,0
M-179,Day-12,0
M-179,Day-13,0
M-179,Day-14,0
M-179,Day-15,0
M-179,Day-16,0
M-179,Day-17,0
M-179,Day-18,0
M-179,Day-19,0
M-179,Day-20,0
M-180,Day-01,0
M-180,Day-02,0
M-180,Day-03,0
M-180,Day-04,0
M-180,Day-05,0
M-180,Day-06,0
M-180,Day-07,0
M-180,Day-08,0
M-180,Day-09,0
M-180,Day-10,0
M-180,Day-11,9
M-180,Day-12,39
M-180,Day-13,42
M-180,Day-14,8
M-180,Day-15,0
M-180,Day-16,0
M-180,Day-17,0
M-180,Day-18,0
M-180,Day-19,0
M-180,Day-20,0
M-181,Day-01,0
M-181,Day-02,0
M-181,Day-03,0
M-181,Day-04,0
M-181,Day-05,0
M-181,Day-06,0
M-181,Day-07,0
M-181,Day-08,0
M-181,Day-09,0
M-181,Day-10,0
M-181,Day-11,0
M-181,Day-12,0
M-181,Day-13,0
M-181,Day-14,1
M-181,Day-15,15
M-181,Day-16,33
M-181,Day-17,32
M-181,Day-18,13
M-181,Day-19,2
M-181,Day-20,0
M-182,Day-01,0
M-182,Day-02,0
M-182,Day-03,0
M-182,Day-04,0
M-182,Day-05,0
M-182,Day-06,0
M-182,Day-07,0
M-182,Day-08,0
M-182,Day-09,0
M-182,Day-10,0
M-182,Day-11,0
M-182,Day-12,0
M-182,Day-13,0
M-182,Day-14,0
M-182,Day-15,0
M-182,Day-16,0
M-182,Day-17,7
M-182,Day-18,42
M-182,Day-19,41
M-182,Day-20,8
M-183,Day-01,0
M-183,Day-02,0
M-183,Day-03,0
M-183,Day-04,0
M-183,Day-05,0
M-183,Day-06,0
M-183,Day-07,0
M-183,Day-08,0
M-183,Day-09,0
M-183,Day-10,0
M-183,Day-11,0
M-183,Day-12,0
M-183,Day-13,0
M-183,Day-14,8
M-183,Day-15,39
M-183,Day-16,40
M-183,Day-17,9
M-183,Day-18,0
M-183,Day-19,0
M-183,Day-20,0
M-184,Day-01,0
M-184,Day-02,0
M-184,Day-03,0
M-184,Day-04,0
M-184,Day-05,0
M-184,Day-06,0
M-184,Day-07,0
M-184,Day-08,0
M-184,Day-09,0
M-184,Day-10,0
M-184,Day-11,0
M-184,Day-12,0
M-184,Day-13,1
M-184,Day-14,6
M-184,Day-15,14
M-184,Day-16,25
M-184,Day-17,24
M-184,Day-18,17
M-184,Day-19,7
M-184,Day-20,2
M-185,Day-01,1
M-185,Day-02,11
M-185,Day-03,37
M-185,Day-04,34
M-185,Day-05,13
M-185,Day-06,1
M-185,Day-07,0
M-185,Day-08,0
M-185,Day-09,0
M-185,Day-10,0
M-185,Day-11,0
M-185,Day-12,0
M-185,Day-13,0
M-185,Day-14,0
M-185,Day-15,0
M-185,Day-16,0
M-185,Day-17,0
M-185,Day-18,0
M-185,Day-19,0
M-185,Day-20,0
M-186,Day-01,0
M-186,Day-02,1
M-186,Day-03,14
M-186,Day-04,35
M-186,Day-05,31
M-186,Day-06,13
M-186,Day-07,2
M-186,Day-08,0
M-186,Day-09,0
M-186,Day-10,0
M-186,Day-11,0
M-186,Day-12,0
M-186,Day-13,0
M-186,Day-14,0
M-186,Day-15,0
M-186,Day-16,0
M-186,Day-17,0
M-186,Day-18,0
M-186,Day-19,0
M-186,Day-20,0
M-187,Day-01,0
M-187,Day-02,0
M-187,Day-03,0
M-187,Day-04,9
M-187,Day-05,41
M-187,Day-06,40
M-187,Day-07,9
M-187,Day-08,0
M-187,Day-09,0
M-187,Day-10,0
M-187,Day-11,0
M-187,Day-12,0
M-187,Day-13,0
M-187,Day-14,0
M-187,Day-15,0
M-187,Day-16,0
M-187,Day-17,0
M-187,Day-18,0
M-187,Day-19,0
M-187,Day-20,0
M-188,Day-01,0
M-188,Day-02,0
M-188,Day-03,2
M-188,Day-04,8
M-188,Day-05,18
M-188,Day-06,24
M-188,Day-07,23
M-188,Day-08,14
M-188,Day-09,6
M-188,Day-10,1
M-188,Day-11,0
M-188,Day-12,0
M-188,Day-13,0
M-188,Day-14,0
M-188,Day-15,0
M-188,Day-16,0
M-188,Day-17,0
M-188,Day-18,0
M-188,Day-19,0
M-188,Day-20,0
M-189,Day-01,0
M-189,Day-02,0
M-189,Day-03,0
M-189,Day-04,0
M-189,Day-05,3
M-189,Day-06,13
M-189,Day-07,35
M-189,Day-08,32
M-189,Day-09,12
M-189,Day-10,2
M-189,Day-11,0
M-189,Day-12,0
M-189,Day-13,0
M-189,Day-14,0
M-189,Day-15,0
M-189,Day-16,0
M-189,Day-17,0
M-189,Day-18,0
M-189,Day-19,0
M-189,Day-20,0
M-190,Day-01,0
M-190,Day-02,2
M-190,Day-03,49
M-190,Day-04,45
M-190,Day-05,2
M-190,Day-06,0
M-190,Day-07,0
M-190,Day-08,0
M-190,Day-09,0
M-190,Day-10,0
M-190,Day-11,0
M-190,Day-12,0
M-190,Day-13,0
M-190,Day-14,0
M-190,Day-15,0
M-190,Day-16,0
M-190,Day-17,0
M-190,Day-18,0
M-190,Day-19,0
M-190,Day-20,0
M-191,Day-01,0
M-191,Day-02,0
M-191,Day-03,4
M-191,Day-04,13
M-191,Day-05,29
M-191,Day-06,30
M-191,Day-07,15
M-191,Day-08,4
M-191,Day-09,0
M-191,Day-10,0
M-191,Day-11,0
M-191,Day-12,0
M-191,Day-13,0
M-191,Day-14,0
M-191,Day-15,0
M-191,Day-16,0
M-191,Day-17,0
M-191,Day-18,0
M-191,Day-19,0
M-191,Day-20,0
M-192,Day-01,0
M-192,Day-02,5
M-192,Day-03,16
M-192,Day-04,29
M-192,Day-05,28
M-192,Day-06,14
M-192,Day-07,4
M-192,Day-08,1
M-192,Day-09,0
M-192,Day-10,0
M-192,Day-11,0
M-192,Day-12,0
M-192,Day-13,0
M-192,Day-14,0
M-192,Day-15,0
M-192,Day-16,0
M-192,Day-17,0
M-192,Day-18,0
M-192,Day-19,0
M-192,Day-20,0
M-193,Day-01,0
M-193,Day-02,0
M-193,Day-03,0
M-193,Day-04,0
M-193,Day-05,0
M-193,Day-06,0
M-193,Day-07,0
M-193,Day-08,0
M-193,Day-09,0
M-193,Day-10,0
M-193,Day-11,0
M-193,Day-12,0
M-193,Day-13,0
M-193,Day-14,0
M-193,Day-15,9
M-193,Day-16,39
M-193,Day-17,42
M-193,Day-18,7
M-193,Day-19,0
M-193,Day-20,0
M-194,Day-01,0
M-194,Day-02,1
M-194,Day-03,5
M-194,Day-04,14
M-194,Day-05,30
M-194,Day-06,27
M-194,Day-07,16
M-194,Day-08,3
M-194,Day-09,0
M-194,Day-10,0
M-194,Day-11,0
M-194,Day-12,0
M-194,Day-13,0
M-194,Day-14,0
M-194,Day-15,0
M-194,Day-16,0
M-194,Day-17,0
M-194,Day-18,0
M-194,Day-19,0
M-194,Day-20,0
M-195,Day-01,0
M-195,Day-02,0
M-195,Day-03,0
M-195,Day-04,0
M-195,Day-05,0
M-195,Day-06,0
M-195,Day-07,0
M-195,Day-08,0
M-195,Day-09,0
M-195,Day-10,0
M-195,Day-11,0
M-195,Day-12,2
M-195,Day-13,13
M-195,Day-14,35
M-195,Day-15,32
M-195,Day-16,12
M-195,Day-17,2
M-195,Day-18,0
M-195,Day-19,0
M-195,Day-20,0
M-196,Day-01,0
M-196,Day-02,0
M-196,Day-03,0
M-196,Day-04,0
M-196,Day-05,0
M-196,Day-06,0
M-196,Day-07,1
M-196,Day-08,6
M-196,Day-09,17
M-196,Day-10,25
M-196,Day-11,22
M-196,Day-12,15
M-196,Day-13,7
M-196,Day-14,1
M-196,Day-15,0
M-196,Day-16,0
M-196,Day-17,0
M-196,Day-18,0
M-196,Day-19,0
M-196,Day-20,0
M-197,Day-01,0
M-197,Day-02,0
M-197,Day-03,0
M-197,Day-04,0
M-197,Day-05,0
M-197,Day-06,0
M-197,Day-07,0
M-197,Day-08,0
M-197,Day-09,0
M-197,Day-10,0
M-197,Day-11,0
M-197,Day-12,0
M-197,Day-13,0
M-197,Day-14,3
M-197,Day-15,48
M-197,Day-16,46
M-197,Day-17,2
M-197,Day-18,0
M-197,Day-19,0
M-197,Day-20,0
M-198,Day-01,0
M-198,Day-02,0
M-198,Day-03,0
M-198,Day-04,0
M-198,Day-05,0
M-198,Day-06,0
M-198,Day-07,0
M-198,Day-08,0
M-198,Day-09,0
M-198,Day-10,0
M-198,Day-11,0
M-198,Day-12,0
M-198,Day-13,0
M-198,Day-14,2
M-198,Day-15,13
M-198,Day-16,34
M-198,Day-17,34
M-198,Day-18,13
M-198,Day-19,1
M-198,Day-20,0
M-199,Day-01,0
M-199,Day-02,0
M-199,Day-03,0
M-199,Day-04,0
M-199,Day-05,0
M-199,Day-06,0
M-199,Day-07,0
M-199,Day-08,2
M-199,Day-09,15
M-199,Day-10,33
M-199,Day-11,33
M-199,Day-12,13
M-199,Day-13,2
M-199,Day-14,0
M-199,Day-15,0
M-199,Day-16,0
M-199,Day-17,0
M-199,Day-18,0
M-199,Day-19,0
M-199,Day-20,0
M-200,Day-01,0
M-200,Day-02,0
M-200,Day-03,0
M-200,Day-04,0
M-200,Day-05,0
M-200,Day-06,0
M-200,Day-07,0
M-200,Day-08,0
M-200,Day-09,0
M-200,Day-10,0
M-200,Day-11,0
M-200,Day-12,0
M-200,Day-13,0
M-200,Day-14,2
M-200,Day-15,48
M-200,Day-16,47
M-200,Day-17,2
M-200,Day-18,0
M-200,Day-19,0
M-200,Day-20,0
M-201,Day-01,0
M-201,Day-02,0
M-201,Day-03,0
M-201,Day-04,0
M-201,Day-05,0
M-201,Day-06,0
M-201,Day-07,0
M-201,Day-08,0
M-201,Day-09,0
M-201,Day-10,3
M-201,Day-11,48
M-201,Day-12,47
M-201,Day-13,1
M-201,Day-14,0
M-201,Day-15,0
M-201,Day-16,0
M-201,Day-17,0
M-201,Day-18,0
M-201,Day-19,0
M-201,Day-20,0
M-202,Day-01,0
M-202,Day-02,0
M-202,Day-03,0
M-202,Day-04,0
M-202,Day-05,0
M-202,Day-06,0
M-202,Day-07,1
M-202,Day-08,15
M-202,Day-09,33
M-202,Day-10,33
M-202,Day-11,12
M-202,Day-12,2
M-202,Day-13,0
M-202,Day-14,0
M-202,Day-15,0
M-202,Day-16,0
M-202,Day-17,0
M-202,Day-18,0
M-202,Day-19,0
M-202,Day-20,0
M-203,Day-01,0
M-203,Day-02,0
M-203,Day-03,0
M-203,Day-04,0
M-203,Day-05,0
M-203,Day-06,0
M-203,Day-07,4
M-203,Day-08,15
M-203,Day-09,28
M-203,Day-10,30
M-203,Day-11,15
M-203,Day-12,5
M-203,Day-13,1
M-203,Day-14,0
M-203,Day-15,0
M-203,Day-16,0
M-203,Day-17,0
M-203,Day-18,0
M-203,Day-19,0
M-203,Day-20,0
M-204,Day-01,0
M-204,Day-02,0
M-204,Day-03,0
M-204,Day-04,0
M-204,Day-05,0
M-204,Day-06,0
M-204,Day-07,0
M-204,Day-08,8
M-204,Day-09,40
M-204,Day-10,41
M-204,Day-11,9
M-204,Day-12,0
M-204,Day-13,0
M-204,Day-14,0
M-204,Day-15,0
M-204,Day-16,0
M-204,Day-17,0
M-204,Day-18,0
M-204,Day-19,0
M-204,Day-20,0
M-205,Day-01,0
M-205,Day-02,0
M-205,Day-03,0
M-205,Day-04,0
M-205,Day-05,0
M-205,Day-06,0
M-205,Day-07,0
M-205,Day-08,0
M-205,Day-09,0
M-205,Day-10,2
M-205,Day-11,12
M-205,Day-12,32
M-205,Day-13,35
M-205,Day-14,14
M-205,Day-15,2
M-205,Day-16,0
M-205,Day-17,0
M-205,Day-18,0
M-205,Day-19,0
M-205,Day-20,0
M-206,Day-01,0
M-206,Day-02,0
M-206,Day-03,0
M-206,Day-04,0
M-206,Day-05,0
M-206,Day-06,4
M-206,Day-07,14
M-206,Day-08,31
M-206,Day-09,28
M-206,Day-10,14
M-206,Day-11,5
M-206,Day-12,0
M-206,Day-13,0
M-206,Day-14,0
M-206,Day-15,0
M-206,Day-16,0
M-206,Day-17,0
M-206,Day-18,0
M-206,Day-19,0
M-206,Day-20,0
M-207,Day-01,0
M-207,Day-02,0
M-207,Day-03,0
M-207,Day-04,0
M-207,Day-05,0
M-207,Day-06,2
M-207,Day-07,44
M-207,Day-08,50
M-207,Day-09,1
M-207,Day-10,0
M-207,Day-11,0
M-207,Day-12,0
M-207,Day-13,0
M-207,Day-14,0
M-207,Day-15,0
M-207,Day-16,0
M-207,Day-17,0
M-207,Day-18,0
M-207,Day-19,0
M-207,Day-20,0
M-208,Day-01,0
M-208,Day-02,0
M-208,Day-03,0
M-208,Day-04,0
M-208,Day-05,0
M-208,Day-06,0
M-208,Day-07,0
M-208,Day-08,1
M-208,Day-09,49
M-208,Day-10,46
M-208,Day-11,2
M-208,Day-12,0
M-208,Day-13,0
M-208,Day-14,0
M-208,Day-15,0
M-208,Day-16,0
M-208,Day-17,0
M-208,Day-18,0
M-208,Day-19,0
M-208,Day-20,0
M-209,Day-01,0
M-209,Day-02,0
M-209,Day-03,0
M-209,Day-04,0
M-209,Day-05,0
M-209,Day-06,0
M-209,Day-07,0
M-209,Day-08,0
M-209,Day-09,0
M-209,Day-10,0
M-209,Day-11,8
M-209,Day-12,42
M-209,Day-13,41
M-209,Day-14,7
M-209,Day-15,0
M-209,Day-16,0
M-209,Day-17,0
M-209,Day-18,0
M-209,Day-19,0
M-209,Day-20,0
M-210,Day-01,0
M-210,Day-02,0
M-210,Day-03,0
M-210,Day-04,0
M-210,Day-05,0
M-210,Day-06,0
M-210,Day-07,0
M-210,Day-08,2
M-210,Day-09,13
M-210,Day-10,35
M-210,Day-11,32
M-210,Day-12,14
M-210,Day-13,1
M-210,Day-14,0
M-210,Day-15,0
M-210,Day-16,0
M-210,Day-17,0
M-210,Day-18,0
M-210,Day-19,0
M-210,Day-20,0
M-211,Day-01,0
M-211,Day-02,0
M-211,Day-03,0
M-211,Day-04,5
M-211,Day-05,17
M-211,Day-06,29
M-211,Day-07,28
M-211,Day-08,14
M-211,Day-09,4
M-211,Day-10,0
M-211,Day-11,0
M-211,Day-12,0
M-211,Day-13,0
M-211,Day-14,0
M-211,Day-15,0
M-211,Day-16,0
M-211,Day-17,0
M-211,Day-18,0
M-211,Day-19,0
M-211,Day-20,0
M-212,Day-01,0
M-212,Day-02,0
M-212,Day-03,0
M-212,Day-04,0
M-212,Day-05,0
M-212,Day-06,0
M-212,Day-07,0
M-212,Day-08,0
M-212,Day-09,0
M-212,Day-10,0
M-212,Day-11,0
M-212,Day-12,0
M-212,Day-13,0
M-212,Day-14,8
M-212,Day-15,39
M-212,Day-16,41
M-212,Day-17,9
M-212,Day-18,0
M-212,Day-19,0
M-212,Day-20,0
M-213,Day-01,0
M-213,Day-02,0
M-213,Day-03,1
M-213,Day-04,48
M-213,Day-05,47
M-213,Day-06,2
M-213,Day-07,0
M-213,Day-08,0
M-213,Day-09,0
M-213,Day-10,0
M-213,Day-11,0
M-213,Day-12,0
M-213,Day-13,0
M-213,Day-14,0
M-213,Day-15,0
M-213,Day-16,0
M-213,Day-17,0
M-213,Day-18,0
M-213,Day-19,0
M-213,Day-20,0
M-214,Day-01,0
M-214,Day-02,0
M-214,Day-03,0
M-214,Day-04,0
M-214,Day-05,0
M-214,Day-06,2
M-214,Day-07,45
M-214,Day-08,50
M-214,Day-09,1
M-214,Day-10,0
M-214,Day-11,0
M-214,Day-12,0
M-214,Day-13,0
M-214,Day-14,0
M-214,Day-15,0
M-214,Day-16,0
M-214,Day-17,0
M-214,Day-18,0
M-214,Day-19,0
M-214,Day-20,0
M-215,Day-01,0
M-215,Day-02,0
M-215,Day-03,0
M-215,Day-04,0
M-215,Day-05,0
M-215,Day-06,0
M-215,Day-07,0
M-215,Day-08,1
M-215,Day-09,49
M-215,Day-10,46
M-215,Day-11,2
M-215,Day-12,0
M-215,Day-13,0
M-215,Day-14,0
M-215,Day-15,0
M-215,Day-16,0
M-215,Day-17,0
M-215,Day-18,0
M-215,Day-19,0
M-215,Day-20,0
M-216,Day-01,0
M-216,Day-02,0
M-216,Day-03,0
M-216,Day-04,0
M-216,Day-05,0
M-216,Day-06,0
M-216,Day-07,0
M-216,Day-08,0
M-216,Day-09,0
M-216,Day-10,2
M-216,Day-11,13
M-216,Day-12,34
M-216,Day-13,35
M-216,Day-14,11
M-216,Day-15,2
M-216,Day-16,0
M-216,Day-17,0
M-216,Day-18,0
M-216,Day-19,0
M-216,Day-20,0
M-217,Day-01,0
M-217,Day-02,0
M-217,Day-03,0
M-217,Day-04,0
M-217,Day-05,0
M-217,Day-06,0
M-217,Day-07,2
M-217,Day-08,46
M-217,Day-09,47
M-217,Day-10,2
M-217,Day-11,0
M-217,Day-12,0
M-217,Day-13,0
M-217,Day-14,0
M-217,Day-15,0
M-217,Day-16,0
M-217,Day-17,0
M-217,Day-18,0
M-217,Day-19,0
M-217,Day-20,0
M-218,Day-01,0
M-218,Day-02,0
M-218,Day-03,1
M-218,Day-04,6
M-218,Day-05,16
M-218,Day-06,24
M-218,Day-07,23
M-218,Day-08,17
M-218,Day-09,6
M-218,Day-10,1
M-218,Day-11,0
M-218,Day-12,0
M-218,Day-13,0
M-218,Day-14,0
M-218,Day-15,0
M-218,Day-16,0
M-218,Day-17,0
M-218,Day-18,0
M-218,Day-19,0
M-218,Day-20,0
M-219,Day-01,0
M-219,Day-02,0
M-219,Day-03,0
M-219,Day-04,0
M-219,Day-05,2
M-219,Day-06,47
M-219,Day-07,47
M-219,Day-08,2
M-219,Day-09,0
M-219,Day-10,0
M-219,Day-11,0
M-219,Day-12,0
M-219,Day-13,0
M-219,Day-14,0
M-219,Day-15,0
M-219,Day-16,0
M-219,Day-17,0
M-219,Day-18,0
M-219,Day-19,0
M-219,Day-20,0
M-220,Day-01,0
M-220,Day-02,0
M-220,Day-03,0
M-220,Day-04,0
M-220,Day-05,0
M-220,Day-06,0
M-220,Day-07,0
M-220,Day-08,0
M-220,Day-09,0
M-220,Day-10,0
M-220,Day-11,0
M-220,Day-12,1
M-220,Day-13,48
M-220,Day-14,47
M-220,Day-15,2
M-220,Day-16,0
M-220,Day-17,0
M-220,Day-18,0
M-220,Day-19,0
M-220,Day-20,0
M-221,Day-01,0
M-221,Day-02,0
M-221,Day-03,0
M-221,Day-04,0
M-221,Day-05,0
M-221,Day-06,0
M-221,Day-07,0
M-221,Day-08,0
M-221,Day-09,0
M-221,Day-10,0
M-221,Day-11,2
M-221,Day-12,47
M-221,Day-13,48
M-221,Day-14,1
M-221,Day-15,0
M-221,Day-16,0
M-221,Day-17,0
M-221,Day-18,0
M-221,Day-19,0
M-221,Day-20,0
M-222,Day-01,0
M-222,Day-02,0
M-222,Day-03,0
M-222,Day-04,0
M-222,Day-05,0
M-222,Day-06,0
M-222,Day-07,0
M-222,Day-08,0
M-222,Day-09,0
M-222,Day-10,0
M-222,Day-11,0
M-222,Day-12,1
M-222,Day-13,12
M-222,Day-14,33
M-222,Day-15,35
M-222,Day-16,13
M-222,Day-17,2
M-222,Day-18,0
M-222,Day-19,0
M-222,Day-20,0
M-223,Day-01,0
M-223,Day-02,0
M-223,Day-03,0
M-223,Day-04,0
M-223,Day-05,0
M-223,Day-06,0
M-223,Day-07,0
M-223,Day-08,0
M-223,Day-09,0
M-223,Day-10,0
M-223,Day-11,2
M-223,Day-12,48
M-223,Day-13,46
M-223,Day-14,2
M-223,Day-15,0
M-223,Day-16,0
M-223,Day-17,0
M-223,Day-18,0
M-223,Day-19,0
M-223,Day-20,0
M-224,Day-01,0
M-224,Day-02,0
M-224,Day-03,0
M-224,Day-04,0
M-224,Day-05,0
M-224,Day-06,2
M-224,Day-07,49
M-224,Day-08,46
M-224,Day-09,2
M-224,Day-10,0
M-224,Day-11,0
M-224,Day-12,0
M-224,Day-13,0
M-224,Day-14,0
M-224,Day-15,0
M-224,Day-16,0
M-224,Day-17,0
M-224,Day-18,0
M-224,Day-19,0
M-224,Day-20,0
M-225,Day-01,0
M-225,Day-02,0
M-225,Day-03,0
M-225,Day-04,0
M-225,Day-05,0
M-225,Day-06,0
M-225,Day-07,8
M-225,Day-08,41
M-225,Day-09,39
M-225,Day-10,8
M-225,Day-11,1
M-225,Day-12,0
M-225,Day-13,0
M-225,Day-14,0
M-225,Day-15,0
M-225,Day-16,0
M-225,Day-17,0
M-225,Day-18,0
M-225,Day-19,0
M-225,Day-20,0
M-226,Day-01,0
M-226,Day-02,0
M-226,Day-03,0
M-226,Day-04,0
M-226,Day-05,0
M-226,Day-06,0
M-226,Day-07,0
M-226,Day-08,0
M-226,Day-09,0
M-226,Day-10,0
M-226,Day-11,0
M-226,Day-12,0
M-226,Day-13,1
M-226,Day-14,7
M-226,Day-15,15
M-226,Day-16,26
M-226,Day-17,23
M-226,Day-18,15
M-226,Day-19,7
M-226,Day-20,1
M-227,Day-01,0
M-227,Day-02,0
M-227,Day-03,0
M-227,Day-04,0
M-227,Day-05,0
M-227,Day-06,0
M-227,Day-07,0
M-227,Day-08,0
M-227,Day-09,1
M-227,Day-10,5
M-227,Day-11,16
M-227,Day-12,24
M-227,Day-13,28
M-227,Day-14,13
M-227,Day-15,8
M-227,Day-16,1
M-227,Day-17,0
M-227,Day-18,0
M-227,Day-19,0
M-227,Day-20,0
M-228,Day-01,0
M-228,Day-02,2
M-228,Day-03,13
M-228,Day-04,32
M-228,Day-05,35
M-228,Day-06,13
M-228,Day-07,2
M-228,Day-08,0
M-228,Day-09,0
M-228,Day-10,0
M-228,Day-11,0
M-228,Day-12,0
M-228,Day-13,0
M-228,Day-14,0
M-228,Day-15,0
M-228,Day-16,0
M-228,Day-17,0
M-228,Day-18,0
M-228,Day-19,0
M-228,Day-20,0
M-229,Day-01,0
M-229,Day-02,1
M-229,Day-03,8
M-229,Day-04,15
M-229,Day-05,24
M-229,Day-06,24
M-229,Day-07,16
M-229,Day-08,7
M-229,Day-09,1
M-229,Day-10,0
M-229,Day-11,0
M-229,Day-12,0
M-229,Day-13,0
M-229,Day-14,0
M-229,Day-15,0
M-229,Day-16,0
M-229,Day-17,0
M-229,Day-18,0
M-229,Day-19,0
M-229,Day-20,0
M-230,Day-01,0
M-230,Day-02,0
M-230,Day-03,0
M-230,Day-04,0
M-230,Day-05,0
M-230,Day-06,0
M-230,Day-07,0
M-230,Day-08,0
M-230,Day-09,2
M-230,Day-10,47
M-230,Day-11,47
M-230,Day-12,2
M-230,Day-13,0
M-230,Day-14,0
M-230,Day-15,0
M-230,Day-16,0
M-230,Day-17,0
M-230,Day-18,0
M-230,Day-19,0
M-230,Day-20,0
M-231,Day-01,0
M-231,Day-02,1
M-231,Day-03,6
M-231,Day-04,15
M-231,Day-05,23
M-231,Day-06,24
M-231,Day-07,18
M-231,Day-08,7
M-231,Day-09,1
M-231,Day-10,0
M-231,Day-11,0
M-231,Day-12,0
M-231,Day-13,0
M-231,Day-14,0
M-231,Day-15,0
M-231,Day-16,0
M-231,Day-17,0
M-231,Day-18,0
M-231,Day-19,0
M-231,Day-20,0
M-232,Day-01,0
M-232,Day-02,0
M-232,Day-03,0
M-232,Day-04,0
M-232,Day-05,0
M-232,Day-06,0
M-232,Day-07,0
M-232,Day-08,0
M-232,Day-09,0
M-232,Day-10,2
M-232,Day-11,12
M-232,Day-12,35
M-232,Day-13,30
M-232,Day-14,16
M-232,Day-15,2
M-232,Day-16,0
M-232,Day-17,0
M-232,Day-18,0
M-232,Day-19,0
M-232,Day-20,0
M-233,Day-01,0
M-233,Day-02,0
M-233,Day-03,0
M-233,Day-04,0
M-233,Day-05,0
M-233,Day-06,0
M-233,Day-07,0
M-233,Day-08,0
M-233,Day-09,0
M-233,Day-10,0
M-233,Day-11,1
M-233,Day-12,6
M-233,Day-13,17
M-233,Day-14,23
M-233,Day-15,26
M-233,Day-16,15
M-233,Day-17,7
M-233,Day-18,1
M-233,Day-19,0
M-233,Day-20,0
M-234,Day-01,0
M-234,Day-02,0
M-234,Day-03,0
M-234,Day-04,0
M-234,Day-05,0
M-234,Day-06,0
M-234,Day-07,0
M-234,Day-08,0
M-234,Day-09,0
