machine,day,production
M-237,Day-10,80
M-237,Day-11,80
M-237,Day-12,78
M-237,Day-13,76
M-237,Day-14,79
M-237,Day-15,62
M-237,Day-16,74
M-237,Day-17,78
M-237,Day-18,70
M-237,Day-19,76
M-237,Day-20,80
M-238,Day-01,120
M-238,Day-02,111
M-238,Day-03,120
M-238,Day-04,120
M-238,Day-05,103
M-238,Day-06,120
M-238,Day-07,92
M-238,Day-08,108
M-238,Day-09,120
M-238,Day-10,120
M-238,Day-11,120
M-238,Day-12,95
M-238,Day-13,102
M-238,Day-14,120
M-238,Day-15,120
M-238,Day-16,106
M-238,Day-17,120
M-238,Day-18,110
M-238,Day-19,106
M-238,Day-20,111
M-239,Day-01,63
M-239,Day-02,66
M-239,Day-03,58
M-239,Day-04,69
M-239,Day-05,68
M-239,Day-06,50
M-239,Day-07,66
M-239,Day-08,69
M-239,Day-09,54
M-239,Day-10,59
M-239,Day-11,54
M-239,Day-12,68
M-239,Day-13,74
M-239,Day-14,57
M-239,Day-15,65
M-239,Day-16,73
M-239,Day-17,72
M-239,Day-18,60
M-239,Day-19,52
M-239,Day-20,72
M-240,Day-01,66
M-240,Day-02,57
M-240,Day-03,71
M-240,Day-04,82
M-240,Day-05,69
M-240,Day-06,63
M-240,Day-07,79
M-240,Day-08,69
M-240,Day-09,57
M-240,Day-10,78
M-240,Day-11,67
M-240,Day-12,59
M-240,Day-13,64
M-240,Day-14,76
M-240,Day-15,62
M-240,Day-16,68
M-240,Day-17,61
M-240,Day-18,77
M-240,Day-19,73
M-240,Day-20,77
M-241,Day-01,88
M-241,Day-02,84
M-241,Day-03,78
M-241,Day-04,77
M-241,Day-05,76
M-241,Day-06,61
M-241,Day-07,88
M-241,Day-08,62
M-241,Day-09,74
M-241,Day-10,92
M-241,Day-11,86
M-241,Day-12,85
M-241,Day-13,72
M-241,Day-14,82
M-241,Day-15,78
M-241,Day-16,65
M-241,Day-17,81
M-241,Day-18,70
M-241,Day-19,80
M-241,Day-20,80
M-242,Day-01,114
M-242,Day-02,103
M-242,Day-03,112
M-242,Day-04,130
M-242,Day-05,130
M-242,Day-06,124
M-242,Day-07,113
M-242,Day-08,130
M-242,Day-09,130
M-242,Day-10,107
M-242,Day-11,122
M-242,Day-12,112
M-242,Day-13,130
M-242,Day-14,130
M-242,Day-15,113
M-242,Day-16,130
M-242,Day-17,126
M-242,Day-18,127
M-242,Day-19,129
M-242,Day-20,114
M-243,Day-01,99
M-243,Day-02,76
M-243,Day-03,86
M-243,Day-04,106
M-243,Day-05,85
M-243,Day-06,79
M-243,Day-07,90
M-243,Day-08,80
M-243,Day-09,105
M-243,Day-10,79
M-243,Day-11,105
M-243,Day-12,78
M-243,Day-13,81
M-243,Day-14,91
M-243,Day-15,103
M-243,Day-16,91
M-243,Day-17,106
M-243,Day-18,101
M-243,Day-19,87
M-243,Day-20,99
M-244,Day-01,122
M-244,Day-02,139
M-244,Day-03,109
M-244,Day-04,118
M-244,Day-05,140
M-244,Day-06,114
M-244,Day-07,108
M-244,Day-08,113
M-244,Day-09,133
M-244,Day-10,140
M-244,Day-11,120
M-244,Day-12,111
M-244,Day-13,109
M-244,Day-14,103
M-244,Day-15,122
M-244,Day-16,117
M-244,Day-17,113
M-244,Day-18,125
M-244,Day-19,100
M-244,Day-20,118
M-245,Day-01,65
M-245,Day-02,80
M-245,Day-03,80
M-245,Day-04,80
M-245,Day-05,80
M-245,Day-06,80
M-245,Day-07,76
M-245,Day-08,68
M-245,Day-09,80
M-245,Day-10,64
M-245,Day-11,71
M-245,Day-12,80
M-245,Day-13,79
M-245,Day-14,72
M-245,Day-15,80
M-245,Day-16,74
M-245,Day-17,78
M-245,Day-18,66
M-245,Day-19,69
M-245,Day-20,70
M-246,Day-01,93
M-246,Day-02,98
M-246,Day-03,98
M-246,Day-04,126
M-246,Day-05,124
M-246,Day-06,112
M-246,Day-07,126
M-246,Day-08,119
M-246,Day-09,130
M-246,Day-10,123
M-246,Day-11,117
M-246,Day-12,130
M-246,Day-13,128
M-246,Day-14,110
M-246,Day-15,95
M-246,Day-16,121
M-246,Day-17,122
M-246,Day-18,123
M-246,Day-19,130
M-246,Day-20,102
M-247,Day-01,77
M-247,Day-02,67
M-247,Day-03,62
M-247,Day-04,82
M-247,Day-05,76
M-247,Day-06,78
M-247,Day-07,58
M-247,Day-08,72
M-247,Day-09,60
M-247,Day-10,74
M-247,Day-11,76
M-247,Day-12,76
M-247,Day-13,77
M-247,Day-14,85
M-247,Day-15,71
M-247,Day-16,74
M-247,Day-17,59
M-247,Day-18,57
M-247,Day-19,59
M-247,Day-20,63
M-248,Day-01,76
M-248,Day-02,88
M-248,Day-03,88
M-248,Day-04,74
M-248,Day-05,96
M-248,Day-06,96
M-248,Day-07,78
M-248,Day-08,99
M-248,Day-09,76
M-248,Day-10,97
M-248,Day-11,79
M-248,Day-12,89
M-248,Day-13,107
M-248,Day-14,93
M-248,Day-15,82
M-248,Day-16,78
M-248,Day-17,78
M-248,Day-18,95
M-248,Day-19,95
M-248,Day-20,75
M-249,Day-01,94
M-249,Day-02,78
M-249,Day-03,80
M-249,Day-04,103
M-249,Day-05,91
M-249,Day-06,87
M-249,Day-07,88
M-249,Day-08,74
M-249,Day-09,104
M-249,Day-10,83
M-249,Day-11,88
M-249,Day-12,84
M-249,Day-13,78
M-249,Day-14,88
M-249,Day-15,75
M-249,Day-16,86
M-249,Day-17,100
M-249,Day-18,99
M-249,Day-19,85
M-249,Day-20,94
M-250,Day-01,95
M-250,Day-02,95
M-250,Day-03,104
M-250,Day-04,119
M-250,Day-05,114
M-250,Day-06,102
M-250,Day-07,110
M-250,Day-08,81
M-250,Day-09,103
M-250,Day-10,114
M-250,Day-11,115
M-250,Day-12,95
M-250,Day-13,102
M-250,Day-14,120
M-250,Day-15,110
M-250,Day-16,97
M-250,Day-17,106
M-250,Day-18,114
M-250,Day-19,99
M-250,Day-20,117
M-251,Day-01,98
M-251,Day-02,89
M-251,Day-03,82
M-251,Day-04,99
M-251,Day-05,80
M-251,Day-06,89
M-251,Day-07,93
M-251,Day-08,99
M-251,Day-09,95
M-251,Day-10,84
M-251,Day-11,100
M-251,Day-12,77
M-251,Day-13,91
M-251,Day-14,92
M-251,Day-15,100
M-251,Day-16,78
M-251,Day-17,90
M-251,Day-18,100
M-251,Day-19,100
M-251,Day-20,100
M-252,Day-01,83
M-252,Day-02,83
M-252,Day-03,77
M-252,Day-04,64
M-252,Day-05,65
M-252,Day-06,76
M-252,Day-07,68
M-252,Day-08,88
M-252,Day-09,73
M-252,Day-10,83
M-252,Day-11,71
M-252,Day-12,77
M-252,Day-13,84
M-252,Day-14,91
M-252,Day-15,87
M-252,Day-16,62
M-252,Day-17,87
M-252,Day-18,88
M-252,Day-19,79
M-252,Day-20,90
M-253,Day-01,125
M-253,Day-02,104
M-253,Day-03,116
M-253,Day-04,108
M-253,Day-05,113
M-253,Day-06,121
M-253,Day-07,127
M-253,Day-08,108
M-253,Day-09,114
M-253,Day-10,111
M-253,Day-11,96
M-253,Day-12,117
M-253,Day-13,97
M-253,Day-14,105
M-253,Day-15,110
M-253,Day-16,94
M-253,Day-17,116
M-253,Day-18,119
M-253,Day-19,130
M-253,Day-20,131
M-254,Day-01,76
M-254,Day-02,82
M-254,Day-03,87
M-254,Day-04,93
M-254,Day-05,67
M-254,Day-06,82
M-254,Day-07,92
M-254,Day-08,67
M-254,Day-09,91
M-254,Day-10,98
M-254,Day-11,85
M-254,Day-12,70
M-254,Day-13,82
M-254,Day-14,67
M-254,Day-15,88
M-254,Day-16,71
M-254,Day-17,65
M-254,Day-18,71
M-254,Day-19,94
M-254,Day-20,94
M-255,Day-01,77
M-255,Day-02,76
M-255,Day-03,65
M-255,Day-04,60
M-255,Day-05,68
M-255,Day-06,78
M-255,Day-07,58
M-255,Day-08,69
M-255,Day-09,60
M-255,Day-10,86
M-255,Day-11,81
M-255,Day-12,66
M-255,Day-13,76
M-255,Day-14,65
M-255,Day-15,84
M-255,Day-16,63
M-255,Day-17,73
M-255,Day-18,77
M-255,Day-19,77
M-255,Day-20,58
M-256,Day-01,107
M-256,Day-02,83
M-256,Day-03,77
M-256,Day-04,101
M-256,Day-05,91
M-256,Day-06,80
M-256,Day-07,85
M-256,Day-08,100
M-256,Day-09,75
M-256,Day-10,87
M-256,Day-11,90
M-256,Day-12,80
M-256,Day-13,82
M-256,Day-14,77
M-256,Day-15,82
M-256,Day-16,100
M-256,Day-17,95
M-256,Day-18,94
M-256,Day-19,92
M-256,Day-20,82
M-257,Day-01,55
M-257,Day-02,69
M-257,Day-03,71
M-257,Day-04,73
M-257,Day-05,58
M-257,Day-06,61
M-257,Day-07,78
M-257,Day-08,75
M-257,Day-09,61
M-257,Day-10,75
M-257,Day-11,56
M-257,Day-12,56
M-257,Day-13,65
M-257,Day-14,78
M-257,Day-15,65
M-257,Day-16,64
M-257,Day-17,75
M-257,Day-18,60
M-257,Day-19,69
M-257,Day-20,58
M-258,Day-01,110
M-258,Day-02,122
M-258,Day-03,130
M-258,Day-04,130
M-258,Day-05,130
M-258,Day-06,110
M-258,Day-07,130
M-258,Day-08,130
M-258,Day-09,130
M-258,Day-10,130
M-258,Day-11,99
M-258,Day-12,116
M-258,Day-13,114
M-258,Day-14,109
M-258,Day-15,103
M-258,Day-16,116
M-258,Day-17,116
M-258,Day-18,100
M-258,Day-19,100
M-258,Day-20,130
M-259,Day-01,103
M-259,Day-02,89
M-259,Day-03,101
M-259,Day-04,107
M-259,Day-05,79
M-259,Day-06,87
M-259,Day-07,114
M-259,Day-08,86
M-259,Day-09,101
M-259,Day-10,106
M-259,Day-11,109
M-259,Day-12,84
M-259,Day-13,79
M-259,Day-14,91
M-259,Day-15,84
M-259,Day-16,79
M-259,Day-17,99
M-259,Day-18,91
M-259,Day-19,91
M-259,Day-20,112
M-260,Day-01,102
M-260,Day-02,97
M-260,Day-03,98
M-260,Day-04,109
M-260,Day-05,83
M-260,Day-06,106
M-260,Day-07,110
M-260,Day-08,110
M-260,Day-09,108
M-260,Day-10,96
M-260,Day-11,110
M-260,Day-12,87
M-260,Day-13,99
M-260,Day-14,96
M-260,Day-15,92
M-260,Day-16,85
M-260,Day-17,107
M-260,Day-18,86
M-260,Day-19,110
M-260,Day-20,97
M-261,Day-01,118
M-261,Day-02,115
M-261,Day-03,112
M-261,Day-04,138
M-261,Day-05,111
M-261,Day-06,134
M-261,Day-07,126
M-261,Day-08,118
M-261,Day-09,102
M-261,Day-10,140
M-261,Day-11,108
M-261,Day-12,116
M-261,Day-13,109
M-261,Day-14,114
M-261,Day-15,123
M-261,Day-16,104
M-261,Day-17,123
M-261,Day-18,107
M-261,Day-19,120
M-261,Day-20,107
M-262,Day-01,73
M-262,Day-02,61
M-262,Day-03,69
M-262,Day-04,66
M-262,Day-05,67
M-262,Day-06,72
M-262,Day-07,83
M-262,Day-08,62
M-262,Day-09,72
M-262,Day-10,77
M-262,Day-11,67
M-262,Day-12,69
M-262,Day-13,63
M-262,Day-14,83
M-262,Day-15,84
M-262,Day-16,59
M-262,Day-17,84
M-262,Day-18,65
M-262,Day-19,84
M-262,Day-20,65
M-263,Day-01,123
M-263,Day-02,83
M-263,Day-03,110
M-263,Day-04,113
M-263,Day-05,117
M-263,Day-06,113
M-263,Day-07,95
M-263,Day-08,115
M-263,Day-09,97
M-263,Day-10,110
M-263,Day-11,94
M-263,Day-12,115
M-263,Day-13,117
M-263,Day-14,82
M-263,Day-15,91
M-263,Day-16,91
M-263,Day-17,116
M-263,Day-18,120
M-263,Day-19,119
M-263,Day-20,114
M-264,Day-01,109
M-264,Day-02,93
M-264,Day-03,129
M-264,Day-04,96
M-264,Day-05,107
M-264,Day-06,100
M-264,Day-07,120
M-264,Day-08,119
M-264,Day-09,100
M-264,Day-10,99
M-264,Day-11,101
M-264,Day-12,90
M-264,Day-13,97
M-264,Day-14,90
M-264,Day-15,118
M-264,Day-16,111
M-264,Day-17,124
M-264,Day-18,102
M-264,Day-19,95
M-264,Day-20,88
M-265,Day-01,77
M-265,Day-02,77
M-265,Day-03,105
M-265,Day-04,83
M-265,Day-05,85
M-265,Day-06,99
M-265,Day-07,106
M-265,Day-08,78
M-265,Day-09,106
M-265,Day-10,86
M-265,Day-11,79
M-265,Day-12,82
M-265,Day-13,105
M-265,Day-14,98
M-265,Day-15,81
M-265,Day-16,88
M-265,Day-17,83
M-265,Day-18,103
M-265,Day-19,89
M-265,Day-20,77
M-266,Day-01,79
M-266,Day-02,79
M-266,Day-03,100
M-266,Day-04,93
M-266,Day-05,100
M-266,Day-06,100
M-266,Day-07,100
M-266,Day-08,88
M-266,Day-09,90
M-266,Day-10,82
M-266,Day-11,100
M-266,Day-12,94
M-266,Day-13,99
M-266,Day-14,84
M-266,Day-15,97
M-266,Day-16,95
M-266,Day-17,85
M-266,Day-18,100
M-266,Day-19,98
M-266,Day-20,100
M-267,Day-01,68
M-267,Day-02,85
M-267,Day-03,94
M-267,Day-04,80
M-267,Day-05,70
M-267,Day-06,89
M-267,Day-07,98
M-267,Day-08,72
M-267,Day-09,89
M-267,Day-10,83
M-267,Day-11,90
M-267,Day-12,78
M-267,Day-13,78
M-267,Day-14,80
M-267,Day-15,85
M-267,Day-16,91
M-267,Day-17,69
M-267,Day-18,67
M-267,Day-19,93
M-267,Day-20,77
M-268,Day-01,100
M-268,Day-02,123
M-268,Day-03,104
M-268,Day-04,97
M-268,Day-05,128
M-268,Day-06,94
M-268,Day-07,100
M-268,Day-08,110
M-268,Day-09,130
M-268,Day-10,120
M-268,Day-11,132
M-268,Day-12,97
M-268,Day-13,108
M-268,Day-14,114
M-268,Day-15,94
M-268,Day-16,99
M-268,Day-17,125
M-268,Day-18,129
M-268,Day-19,109
M-268,Day-20,130
M-269,Day-01,87
M-269,Day-02,87
M-269,Day-03,100
M-269,Day-04,98
M-269,Day-05,96
M-269,Day-06,80
M-269,Day-07,100
M-269,Day-08,88
M-269,Day-09,83
M-269,Day-10,100
M-269,Day-11,87
M-269,Day-12,100
M-269,Day-13,93
M-269,Day-14,100
M-269,Day-15,100
M-269,Day-16,100
M-269,Day-17,100
M-269,Day-18,92
M-269,Day-19,96
M-269,Day-20,100
M-270,Day-01,56
M-270,Day-02,60
M-270,Day-03,68
M-270,Day-04,78
M-270,Day-05,58
M-270,Day-06,74
M-270,Day-07,56
M-270,Day-08,72
M-270,Day-09,69
M-270,Day-10,52
M-270,Day-11,60
M-270,Day-12,52
M-270,Day-13,79
M-270,Day-14,64
M-270,Day-15,74
M-270,Day-16,72
M-270,Day-17,74
M-270,Day-18,60
M-270,Day-19,67
M-270,Day-20,62
M-271,Day-01,100
M-271,Day-02,100
M-271,Day-03,100
M-271,Day-04,96
M-271,Day-05,100
M-271,Day-06,96
M-271,Day-07,99
M-271,Day-08,77
M-271,Day-09,94
M-271,Day-10,76
M-271,Day-11,72
M-271,Day-12,82
M-271,Day-13,100
M-271,Day-14,97
M-271,Day-15,93
M-271,Day-16,80
M-271,Day-17,86
M-271,Day-18,99
M-271,Day-19,80
M-271,Day-20,94
M-272,Day-01,101
M-272,Day-02,97
M-272,Day-03,70
M-272,Day-04,84
M-272,Day-05,80
M-272,Day-06,77
M-272,Day-07,105
M-272,Day-08,96
M-272,Day-09,87
M-272,Day-10,71
M-272,Day-11,93
M-272,Day-12,96
M-272,Day-13,84
M-272,Day-14,87
M-272,Day-15,76
M-272,Day-16,85
M-272,Day-17,79
M-272,Day-18,98
M-272,Day-19,73
M-272,Day-20,81
M-273,Day-01,92
M-273,Day-02,94
M-273,Day-03,93
M-273,Day-04,92
M-273,Day-05,88
M-273,Day-06,65
M-273,Day-07,77
M-273,Day-08,96
M-273,Day-09,70
M-273,Day-10,96
M-273,Day-11,93
M-273,Day-12,67
M-273,Day-13,73
M-273,Day-14,90
M-273,Day-15,75
M-273,Day-16,97
M-273,Day-17,77
M-273,Day-18,92
M-273,Day-19,87
M-273,Day-20,67
M-274,Day-01,72
M-274,Day-02,90
M-274,Day-03,71
M-274,Day-04,90
M-274,Day-05,70
M-274,Day-06,73
M-274,Day-07,83
M-274,Day-08,90
M-274,Day-09,68
M-274,Day-10,84
M-274,Day-11,90
M-274,Day-12,83
M-274,Day-13,77
M-274,Day-14,81
M-274,Day-15,90
M-274,Day-16,90
M-274,Day-17,79
M-274,Day-18,90
M-274,Day-19,68
M-274,Day-20,84
M-275,Day-01,120
M-275,Day-02,120
M-275,Day-03,105
M-275,Day-04,120
M-275,Day-05,120
M-275,Day-06,120
M-275,Day-07,96
M-275,Day-08,120
M-275,Day-09,120
M-275,Day-10,120
M-275,Day-11,120
M-275,Day-12,98
M-275,Day-13,95
M-275,Day-14,120
M-275,Day-15,120
M-275,Day-16,110
M-275,Day-17,120
M-275,Day-18,120
M-275,Day-19,120
M-275,Day-20,120
M-276,Day-01,93
M-276,Day-02,119
M-276,Day-03,102
M-276,Day-04,120
M-276,Day-05,99
M-276,Day-06,112
M-276,Day-07,90
M-276,Day-08,83
M-276,Day-09,83
M-276,Day-10,89
M-276,Day-11,112
M-276,Day-12,92
M-276,Day-13,111
M-276,Day-14,111
M-276,Day-15,100
M-276,Day-16,105
M-276,Day-17,118
M-276,Day-18,105
M-276,Day-19,107
M-276,Day-20,120
M-277,Day-01,119
M-277,Day-02,115
M-277,Day-03,106
M-277,Day-04,124
M-277,Day-05,102
M-277,Day-06,112
M-277,Day-07,106
M-277,Day-08,117
M-277,Day-09,104
M-277,Day-10,112
M-277,Day-11,106
M-277,Day-12,104
M-277,Day-13,102
M-277,Day-14,117
M-277,Day-15,94
M-277,Day-16,119
M-277,Day-17,128
M-277,Day-18,122
M-277,Day-19,92
M-277,Day-20,111
M-278,Day-01,82
M-278,Day-02,78
M-278,Day-03,81
M-278,Day-04,74
M-278,Day-05,82
M-278,Day-06,59
M-278,Day-07,59
M-278,Day-08,60
M-278,Day-09,84
M-278,Day-10,64
M-278,Day-11,76
M-278,Day-12,57
M-278,Day-13,81
M-278,Day-14,82
M-278,Day-15,76
M-278,Day-16,77
M-278,Day-17,69
M-278,Day-18,61
M-278,Day-19,69
M-278,Day-20,61
M-279,Day-01,110
M-279,Day-02,110
M-279,Day-03,89
M-279,Day-04,96
M-279,Day-05,106
M-279,Day-06,85
M-279,Day-07,103
M-279,Day-08,87
M-279,Day-09,85
M-279,Day-10,103
M-279,Day-11,87
M-279,Day-12,96
M-279,Day-13,89
M-279,Day-14,110
M-279,Day-15,110
M-279,Day-16,87
M-279,Day-17,104
M-279,Day-18,92
M-279,Day-19,102
M-279,Day-20,105
M-280,Day-01,87
M-280,Day-02,85
M-280,Day-03,92
M-280,Day-04,99
M-280,Day-05,98
M-280,Day-06,95
M-280,Day-07,99
M-280,Day-08,118
M-280,Day-09,121
M-280,Day-10,126
M-280,Day-11,107
M-280,Day-12,106
M-280,Day-13,96
M-280,Day-14,111
M-280,Day-15,105
M-280,Day-16,107
M-280,Day-17,97
M-280,Day-18,106
M-280,Day-19,111
M-280,Day-20,117
M-281,Day-01,74
M-281,Day-02,61
M-281,Day-03,68
M-281,Day-04,52
M-281,Day-05,59
M-281,Day-06,53
M-281,Day-07,68
M-281,Day-08,62
M-281,Day-09,57
M-281,Day-10,73
M-281,Day-11,53
M-281,Day-12,72
M-281,Day-13,59
M-281,Day-14,73
M-281,Day-15,55
M-281,Day-16,73
M-281,Day-17,63
M-281,Day-18,62
M-281,Day-19,69
M-281,Day-20,52
M-282,Day-01,129
M-282,Day-02,95
M-282,Day-03,104
M-282,Day-04,115
M-282,Day-05,94
M-282,Day-06,119
M-282,Day-07,116
M-282,Day-08,102
M-282,Day-09,122
M-282,Day-10,115
M-282,Day-11,109
M-282,Day-12,89
M-282,Day-13,124
M-282,Day-14,127
M-282,Day-15,118
M-282,Day-16,130
M-282,Day-17,104
M-282,Day-18,93
M-282,Day-19,120
M-282,Day-20,99
M-283,Day-01,99
M-283,Day-02,96
M-283,Day-03,102
M-283,Day-04,111
M-283,Day-05,112
M-283,Day-06,108
M-283,Day-07,81
M-283,Day-08,98
M-283,Day-09,103
M-283,Day-10,103
M-283,Day-11,97
M-283,Day-12,115
M-283,Day-13,99
M-283,Day-14,99
M-283,Day-15,102
M-283,Day-16,79
M-283,Day-17,95
M-283,Day-18,90
M-283,Day-19,113
M-283,Day-20,80
M-284,Day-01,74
M-284,Day-02,98
M-284,Day-03,74
M-284,Day-04,92
M-284,Day-05,73
M-284,Day-06,91
M-284,Day-07,71
M-284,Day-08,93
M-284,Day-09,74
M-284,Day-10,71
M-284,Day-11,83
M-284,Day-12,87
M-284,Day-13,83
M-284,Day-14,82
M-284,Day-15,88
M-284,Day-16,68
M-284,Day-17,82
M-284,Day-18,81
M-284,Day-19,68
M-284,Day-20,98
M-285,Day-01,64
M-285,Day-02,61
M-285,Day-03,76
M-285,Day-04,78
M-285,Day-05,55
M-285,Day-06,66
M-285,Day-07,60
M-285,Day-08,67
M-285,Day-09,64
M-285,Day-10,56
M-285,Day-11,56
M-285,Day-12,78
M-285,Day-13,72
M-285,Day-14,78
M-285,Day-15,62
M-285,Day-16,69
M-285,Day-17,60
M-285,Day-18,59
M-285,Day-19,64
M-285,Day-20,78
M-286,Day-01,69
M-286,Day-02,63
M-286,Day-03,76
M-286,Day-04,64
M-286,Day-05,60
M-286,Day-06,59
M-286,Day-07,66
M-286,Day-08,66
M-286,Day-09,60
M-286,Day-10,65
M-286,Day-11,69
M-286,Day-12,84
M-286,Day-13,80
M-286,Day-14,72
M-286,Day-15,70
M-286,Day-16,86
M-286,Day-17,61
M-286,Day-18,62
M-286,Day-19,79
M-286,Day-20,71
M-287,Day-01,92
M-287,Day-02,108
M-287,Day-03,109
M-287,Day-04,118
M-287,Day-05,121
M-287,Day-06,117
M-287,Day-07,105
M-287,Day-08,104
M-287,Day-09,130
M-287,Day-10,120
M-287,Day-11,118
M-287,Day-12,95
M-287,Day-13,123
M-287,Day-14,92
M-287,Day-15,130
M-287,Day-16,103
M-287,Day-17,98
M-287,Day-18,130
M-287,Day-19,130
M-287,Day-20,105
M-288,Day-01,140
M-288,Day-02,140
M-288,Day-03,140
M-288,Day-04,110
M-288,Day-05,123
M-288,Day-06,118
M-288,Day-07,140
M-288,Day-08,133
M-288,Day-09,140
M-288,Day-10,131
M-288,Day-11,140
M-288,Day-12,138
M-288,Day-13,137
M-288,Day-14,121
M-288,Day-15,140
M-288,Day-16,140
M-288,Day-17,140
M-288,Day-18,140
M-288,Day-19,140
M-288,Day-20,140
M-289,Day-01,79
M-289,Day-02,86
M-289,Day-03,69
M-289,Day-04,71
M-289,Day-05,73
M-289,Day-06,63
M-289,Day-07,84
M-289,Day-08,73
M-289,Day-09,57
M-289,Day-10,65
M-289,Day-11,70
M-289,Day-12,67
M-289,Day-13,75
M-289,Day-14,72
M-289,Day-15,80
M-289,Day-16,67
M-289,Day-17,59
M-289,Day-18,58
M-289,Day-19,62
M-289,Day-20,63
M-290,Day-01,74
M-290,Day-02,65
M-290,Day-03,67
M-290,Day-04,77
M-290,Day-05,72
M-290,Day-06,80
M-290,Day-07,80
M-290,Day-08,80
M-290,Day-09,65
M-290,Day-10,79
M-290,Day-11,80
M-290,Day-12,80
M-290,Day-13,69
M-290,Day-14,73
M-290,Day-15,79
M-290,Day-16,80
M-290,Day-17,61
M-290,Day-18,77
M-290,Day-19,80
M-290,Day-20,76
M-291,Day-01,57
M-291,Day-02,75
M-291,Day-03,60
M-291,Day-04,58
M-291,Day-05,59
M-291,Day-06,55
M-291,Day-07,74
M-291,Day-08,74
M-291,Day-09,68
M-291,Day-10,63
M-291,Day-11,61
M-291,Day-12,80
M-291,Day-13,59
M-291,Day-14,65
M-291,Day-15,72
M-291,Day-16,60
M-291,Day-17,68
M-291,Day-18,70
M-291,Day-19,55
M-291,Day-20,72
M-292,Day-01,96
M-292,Day-02,116
M-292,Day-03,108
M-292,Day-04,122
M-292,Day-05,100
M-292,Day-06,115
M-292,Day-07,125
M-292,Day-08,138
M-292,Day-09,104
M-292,Day-10,107
M-292,Day-11,113
M-292,Day-12,108
M-292,Day-13,138
M-292,Day-14,135
M-292,Day-15,118
M-292,Day-16,113
M-292,Day-17,107
M-292,Day-18,107
M-292,Day-19,123
M-292,Day-20,107
M-293,Day-01,106
M-293,Day-02,125
M-293,Day-03,115
M-293,Day-04,109
M-293,Day-05,116
M-293,Day-06,102
M-293,Day-07,104
M-293,Day-08,130
M-293,Day-09,107
M-293,Day-10,121
M-293,Day-11,130
M-293,Day-12,130
M-293,Day-13,120
M-293,Day-14,100
M-293,Day-15,119
M-293,Day-16,124
M-293,Day-17,119
M-293,Day-18,130
M-293,Day-19,97
M-293,Day-20,126
M-294,Day-01,88
M-294,Day-02,88
M-294,Day-03,89
M-294,Day-04,68
M-294,Day-05,70
M-294,Day-06,66
M-294,Day-07,69
M-294,Day-08,76
M-294,Day-09,66
M-294,Day-10,80
M-294,Day-11,86
M-294,Day-12,70
M-294,Day-13,89
M-294,Day-14,63
M-294,Day-15,63
M-294,Day-16,61
M-294,Day-17,90
M-294,Day-18,61
M-294,Day-19,87
M-294,Day-20,85
M-295,Day-01,80
M-295,Day-02,110
M-295,Day-03,108
M-295,Day-04,106
M-295,Day-05,110
M-295,Day-06,89
M-295,Day-07,90
M-295,Day-08,79
M-295,Day-09,96
M-295,Day-10,94
M-295,Day-11,99
M-295,Day-12,100
M-295,Day-13,110
M-295,Day-14,102
M-295,Day-15,84
M-295,Day-16,110
M-295,Day-17,110
M-295,Day-18,107
M-295,Day-19,108
M-295,Day-20,82
M-296,Day-01,115
M-296,Day-02,116
M-296,Day-03,130
M-296,Day-04,97
M-296,Day-05,136
M-296,Day-06,132
M-296,Day-07,98
M-296,Day-08,103
M-296,Day-09,121
M-296,Day-10,109
M-296,Day-11,111
M-296,Day-12,105
M-296,Day-13,119
M-296,Day-14,128
M-296,Day-15,138
M-296,Day-16,132
M-296,Day-17,118
M-296,Day-18,97
M-296,Day-19,95
M-296,Day-20,115
M-297,Day-01,113
M-297,Day-02,130
M-297,Day-03,130
M-297,Day-04,100
M-297,Day-05,119
M-297,Day-06,108
M-297,Day-07,128
M-297,Day-08,102
M-297,Day-09,121
M-297,Day-10,108
M-297,Day-11,130
M-297,Day-12,111
M-297,Day-13,130
M-297,Day-14,130
M-297,Day-15,110
M-297,Day-16,116
M-297,Day-17,130
M-297,Day-18,130
M-297,Day-19,106
M-297,Day-20,107
M-298,Day-01,130
M-298,Day-02,129
M-298,Day-03,130
M-298,Day-04,130
M-298,Day-05,104
M-298,Day-06,130
M-298,Day-07,124
M-298,Day-08,130
M-298,Day-09,123
M-298,Day-10,123
M-298,Day-11,130
M-298,Day-12,114
M-298,Day-13,130
M-298,Day-14,130
M-298,Day-15,130
M-298,Day-16,112
M-298,Day-17,105
M-298,Day-18,129
M-298,Day-19,128
M-298,Day-20,118
M-299,Day-01,50
M-299,Day-02,57
M-299,Day-03,65
M-299,Day-04,54
M-299,Day-05,50
M-299,Day-06,66
M-299,Day-07,50
M-299,Day-08,54
M-299,Day-09,64
M-299,Day-10,50
M-299,Day-11,48
M-299,Day-12,60
M-299,Day-13,54
M-299,Day-14,63
M-299,Day-15,45
M-299,Day-16,56
M-299,Day-17,56
M-299,Day-18,63
M-299,Day-19,45
M-299,Day-20,62
M-300,Day-01,72
M-300,Day-02,100
M-300,Day-03,71
M-300,Day-04,77
M-300,Day-05,100
M-300,Day-06,77
M-300,Day-07,96
M-300,Day-08,97
M-300,Day-09,86
M-300,Day-10,98
M-300,Day-11,77
M-300,Day-12,100
M-300,Day-13,85
M-300,Day-14,81
M-300,Day-15,81
M-300,Day-16,82
M-300,Day-17,72
M-300,Day-18,79
M-300,Day-19,81
M-300,Day-20,71
M-301,Day-01,96
