ID,Customer ID,Gender,Affinity,Annual Spend,Loyalty Program Member,Response Channel,CLV,Offer,Offername
C-11086-O-11,C-11086,M,Home goods,306.545,NO,Email,30654.5,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11088-O-10,C-11088,M,Women's Career,225.496,YES,Direct Mail,22549.6,O-10,Shoe and Handbag sale
C-11094-O-2,C-11094,M,Men's Casual,472.705,NO,Mobile,47270.5,O-2,Free shipping on orders over $49
C-11094-O-11,C-11094,M,Men's Casual,472.705,NO,Mobile,47270.5,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11108-O-7,C-11108,M,Women's Career,297.839,YES,Mobile,29783.9,O-7,Lancome Gift with Purchase
C-11108-O-10,C-11108,M,Women's Career,297.839,YES,Mobile,29783.9,O-10,Shoe and Handbag sale
C-11110-O-11,C-11110,F,Women's Shoes,368.045,NO,Mobile,36804.5,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11111-O-1,C-11111,M,Men's Casual,475.451,YES,Mobile,47545.1,O-1,Anastasia Beverly Hills
C-11111-O-2,C-11111,M,Men's Casual,475.451,YES,Mobile,47545.1,O-2,Free shipping on orders over $49
C-11111-O-8,C-11111,M,Men's Casual,475.451,YES,Mobile,47545.1,O-8,Loyalty Program Member
C-11111-O-11,C-11111,M,Men's Casual,475.451,YES,Mobile,47545.1,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11121-O-4,C-11121,M,Women's Sportwear,345.206,NO,Mobile,34520.6,O-4,Home Closeout
C-11121-O-5,C-11121,M,Women's Sportwear,345.206,NO,Mobile,34520.6,O-5,Home Closeout & Lancome Gift with Purchase
C-11121-O-9,C-11121,M,Women's Sportwear,345.206,NO,Mobile,34520.6,O-9,Save 20% Career Suits
C-11123-O-12,C-11123,F,Women's Career,157.511,NO,Email,15751.1,O-12,Womens Sweather Sale
C-11126-O-2,C-11126,M,Women's Shoes,433.344,YES,Mobile,43334.4,O-2,Free shipping on orders over $49
C-11126-O-9,C-11126,M,Women's Shoes,433.344,YES,Mobile,43334.4,O-9,Save 20% Career Suits
C-11126-O-10,C-11126,M,Women's Shoes,433.344,YES,Mobile,43334.4,O-10,Shoe and Handbag sale
C-11129-O-5,C-11129,M,Men's Casual,185.153,YES,Direct Mail,18515.3,O-5,Home Closeout & Lancome Gift with Purchase
C-11129-O-7,C-11129,M,Men's Casual,185.153,YES,Direct Mail,18515.3,O-7,Lancome Gift with Purchase
C-11138-O-6,C-11138,M,Women's Sportwear,253.568,YES,Mobile,25356.8,O-6,Home Closeout & Shoe and Handbag sale
C-11138-O-11,C-11138,M,Women's Sportwear,253.568,YES,Mobile,25356.8,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11142-O-3,C-11142,F,Women's Career,112.168,NO,Email,11216.8,O-3,Get $5 Cashback
C-11142-O-6,C-11142,F,Women's Career,112.168,NO,Email,11216.8,O-6,Home Closeout & Shoe and Handbag sale
C-11142-O-11,C-11142,F,Women's Career,112.168,NO,Email,11216.8,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11146-O-1,C-11146,M,Women's Shoes,410.628,YES,Email,41062.8,O-1,Anastasia Beverly Hills
C-11146-O-11,C-11146,M,Women's Shoes,410.628,YES,Email,41062.8,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11149-O-4,C-11149,F,Women's Shoes,151.803,YES,Direct Mail,15180.3,O-4,Home Closeout
C-11149-O-9,C-11149,F,Women's Shoes,151.803,YES,Direct Mail,15180.3,O-9,Save 20% Career Suits
C-11156-O-7,C-11156,M,Home goods,419.003,YES,Direct Mail,41900.3,O-7,Lancome Gift with Purchase
C-11164-O-1,C-11164,M,Men's Casual,483.546,NO,Direct Mail,48354.6,O-1,Anastasia Beverly Hills
C-11164-O-6,C-11164,M,Men's Casual,483.546,NO,Direct Mail,48354.6,O-6,Home Closeout & Shoe and Handbag sale
C-11168-O-6,C-11168,F,Men's Sportswear,460.629,NO,Mobile,46062.9,O-6,Home Closeout & Shoe and Handbag sale
C-11168-O-8,C-11168,F,Men's Sportswear,460.629,NO,Mobile,46062.9,O-8,Loyalty Program Member
C-11168-O-10,C-11168,F,Men's Sportswear,460.629,NO,Mobile,46062.9,O-10,Shoe and Handbag sale
C-11183-O-1,C-11183,M,Home goods,140.502,YES,Mobile,14050.2,O-1,Anastasia Beverly Hills
C-11183-O-2,C-11183,M,Home goods,140.502,YES,Mobile,14050.2,O-2,Free shipping on orders over $49
C-11183-O-5,C-11183,M,Home goods,140.502,YES,Mobile,14050.2,O-5,Home Closeout & Lancome Gift with Purchase
C-11183-O-7,C-11183,M,Home goods,140.502,YES,Mobile,14050.2,O-7,Lancome Gift with Purchase
C-11183-O-8,C-11183,M,Home goods,140.502,YES,Mobile,14050.2,O-8,Loyalty Program Member
C-11193-O-1,C-11193,M,Women's Shoes,172.856,YES,Email,17285.6,O-1,Anastasia Beverly Hills
C-11193-O-4,C-11193,M,Women's Shoes,172.856,YES,Email,17285.6,O-4,Home Closeout
C-11194-O-2,C-11194,F,Men's Sportswear,382.586,YES,Mobile,38258.6,O-2,Free shipping on orders over $49
C-11194-O-11,C-11194,F,Men's Sportswear,382.586,YES,Mobile,38258.6,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11197-O-10,C-11197,M,Women's Sportwear,429.349,NO,Email,42934.9,O-10,Shoe and Handbag sale
C-11198-O-1,C-11198,M,Women's Career,212.654,NO,Email,21265.4,O-1,Anastasia Beverly Hills
C-11198-O-9,C-11198,M,Women's Career,212.654,NO,Email,21265.4,O-9,Save 20% Career Suits
C-11200-O-1,C-11200,M,Women's Shoes,262.117,YES,Mobile,26211.7,O-1,Anastasia Beverly Hills
C-11200-O-2,C-11200,M,Women's Shoes,262.117,YES,Mobile,26211.7,O-2,Free shipping on orders over $49
C-11206-O-3,C-11206,F,Home goods,230.249,YES,Mobile,23024.9,O-3,Get $5 Cashback
C-11218-O-6,C-11218,M,Women's Shoes,340.079,NO,Mobile,34007.9,O-6,Home Closeout & Shoe and Handbag sale
C-11220-O-1,C-11220,F,Men's Career,171.59,NO,Direct Mail,17159,O-1,Anastasia Beverly Hills
C-11228-O-3,C-11228,F,Men's Casual,367.54,NO,Email,36754,O-3,Get $5 Cashback
C-11228-O-11,C-11228,F,Men's Casual,367.54,NO,Email,36754,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11234-O-6,C-11234,M,Home goods,410.697,YES,Email,41069.7,O-6,Home Closeout & Shoe and Handbag sale
C-11234-O-10,C-11234,M,Home goods,410.697,YES,Email,41069.7,O-10,Shoe and Handbag sale
C-11243-O-11,C-11243,F,Women's Shoes,197.255,YES,Direct Mail,19725.5,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11245-O-6,C-11245,M,Men's Casual,228.296,NO,Email,22829.6,O-6,Home Closeout & Shoe and Handbag sale
C-11245-O-8,C-11245,M,Men's Casual,228.296,NO,Email,22829.6,O-8,Loyalty Program Member
C-11245-O-12,C-11245,M,Men's Casual,228.296,NO,Email,22829.6,O-12,Womens Sweather Sale
C-11246-O-3,C-11246,F,Women's Shoes,468.845,NO,Email,46884.5,O-3,Get $5 Cashback
C-11246-O-10,C-11246,F,Women's Shoes,468.845,NO,Email,46884.5,O-10,Shoe and Handbag sale
C-11246-O-12,C-11246,F,Women's Shoes,468.845,NO,Email,46884.5,O-12,Womens Sweather Sale
C-11250-O-6,C-11250,M,Home goods,431.101,YES,Email,43110.1,O-6,Home Closeout & Shoe and Handbag sale
C-11250-O-8,C-11250,M,Home goods,431.101,YES,Email,43110.1,O-8,Loyalty Program Member
C-11250-O-9,C-11250,M,Home goods,431.101,YES,Email,43110.1,O-9,Save 20% Career Suits
C-11250-O-10,C-11250,M,Home goods,431.101,YES,Email,43110.1,O-10,Shoe and Handbag sale
C-11255-O-6,C-11255,F,Women's Shoes,230.34,YES,Mobile,23034,O-6,Home Closeout & Shoe and Handbag sale
C-11258-O-11,C-11258,F,Men's Casual,433.975,YES,Mobile,43397.5,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11267-O-4,C-11267,M,Home goods,148.671,YES,Mobile,14867.1,O-4,Home Closeout
C-11270-O-9,C-11270,M,Women's Career,173.132,NO,Email,17313.2,O-9,Save 20% Career Suits
C-11275-O-6,C-11275,M,Women's Shoes,241.621,YES,Direct Mail,24162.1,O-6,Home Closeout & Shoe and Handbag sale
C-11275-O-7,C-11275,M,Women's Shoes,241.621,YES,Direct Mail,24162.1,O-7,Lancome Gift with Purchase
C-11275-O-11,C-11275,M,Women's Shoes,241.621,YES,Direct Mail,24162.1,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11281-O-9,C-11281,M,Women's Sportwear,467.916,YES,Mobile,46791.6,O-9,Save 20% Career Suits
C-11281-O-11,C-11281,M,Women's Sportwear,467.916,YES,Mobile,46791.6,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11297-O-10,C-11297,F,Women's Sportwear,124.807,NO,Email,12480.7,O-10,Shoe and Handbag sale
C-11304-O-1,C-11304,F,Men's Casual,192.175,YES,Mobile,19217.5,O-1,Anastasia Beverly Hills
C-11304-O-6,C-11304,F,Men's Casual,192.175,YES,Mobile,19217.5,O-6,Home Closeout & Shoe and Handbag sale
C-11304-O-7,C-11304,F,Men's Casual,192.175,YES,Mobile,19217.5,O-7,Lancome Gift with Purchase
C-11316-O-9,C-11316,F,Home goods,174.561,NO,Direct Mail,17456.1,O-9,Save 20% Career Suits
C-11319-O-5,C-11319,F,Women's Career,298.812,NO,Mobile,29881.2,O-5,Home Closeout & Lancome Gift with Purchase
C-11319-O-11,C-11319,F,Women's Career,298.812,NO,Mobile,29881.2,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11322-O-7,C-11322,M,Women's Shoes,115.295,YES,Direct Mail,11529.5,O-7,Lancome Gift with Purchase
C-11352-O-4,C-11352,F,Women's Career,262.23,NO,Direct Mail,26223,O-4,Home Closeout
C-11362-O-2,C-11362,F,Men's Sportswear,363.388,NO,Mobile,36338.8,O-2,Free shipping on orders over $49
C-11362-O-3,C-11362,F,Men's Sportswear,363.388,NO,Mobile,36338.8,O-3,Get $5 Cashback
C-11362-O-10,C-11362,F,Men's Sportswear,363.388,NO,Mobile,36338.8,O-10,Shoe and Handbag sale
C-11365-O-12,C-11365,M,Men's Career,406.114,YES,Email,40611.4,O-12,Womens Sweather Sale
C-11366-O-1,C-11366,F,Home goods,240.284,YES,Email,24028.4,O-1,Anastasia Beverly Hills
C-11366-O-8,C-11366,F,Home goods,240.284,YES,Email,24028.4,O-8,Loyalty Program Member
C-11373-O-1,C-11373,M,Women's Shoes,334.191,YES,Email,33419.1,O-1,Anastasia Beverly Hills
C-11373-O-8,C-11373,M,Women's Shoes,334.191,YES,Email,33419.1,O-8,Loyalty Program Member
C-11385-O-2,C-11385,M,Women's Career,106.842,YES,Email,10684.2,O-2,Free shipping on orders over $49
C-11385-O-9,C-11385,M,Women's Career,106.842,YES,Email,10684.2,O-9,Save 20% Career Suits
C-11394-O-4,C-11394,M,Men's Career,446.318,NO,Mobile,44631.8,O-4,Home Closeout
C-11396-O-9,C-11396,F,Women's Sportwear,391.493,YES,Direct Mail,39149.3,O-9,Save 20% Career Suits
C-11404-O-8,C-11404,F,Men's Sportswear,431.953,NO,Mobile,43195.3,O-8,Loyalty Program Member
C-11405-O-1,C-11405,F,Men's Career,126.155,YES,Mobile,12615.5,O-1,Anastasia Beverly Hills
C-11405-O-10,C-11405,F,Men's Career,126.155,YES,Mobile,12615.5,O-10,Shoe and Handbag sale
C-11409-O-1,C-11409,F,Women's Career,108.55,YES,Direct Mail,10855,O-1,Anastasia Beverly Hills
C-11409-O-3,C-11409,F,Women's Career,108.55,YES,Direct Mail,10855,O-3,Get $5 Cashback
C-11409-O-5,C-11409,F,Women's Career,108.55,YES,Direct Mail,10855,O-5,Home Closeout & Lancome Gift with Purchase
C-11409-O-7,C-11409,F,Women's Career,108.55,YES,Direct Mail,10855,O-7,Lancome Gift with Purchase
C-11422-O-8,C-11422,M,Women's Shoes,149.206,YES,Mobile,14920.6,O-8,Loyalty Program Member
C-11427-O-11,C-11427,F,Men's Casual,408.109,YES,Email,40810.9,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11428-O-8,C-11428,F,Women's Shoes,465.449,YES,Email,46544.9,O-8,Loyalty Program Member
C-11428-O-12,C-11428,F,Women's Shoes,465.449,YES,Email,46544.9,O-12,Womens Sweather Sale
C-11445-O-1,C-11445,M,Women's Shoes,294.406,NO,Email,29440.6,O-1,Anastasia Beverly Hills
C-11445-O-12,C-11445,M,Women's Shoes,294.406,NO,Email,29440.6,O-12,Womens Sweather Sale
C-11450-O-6,C-11450,M,Men's Casual,236.473,NO,Email,23647.3,O-6,Home Closeout & Shoe and Handbag sale
C-11451-O-2,C-11451,M,Women's Shoes,374.77,NO,Email,37477,O-2,Free shipping on orders over $49
C-11451-O-5,C-11451,M,Women's Shoes,374.77,NO,Email,37477,O-5,Home Closeout & Lancome Gift with Purchase
C-11452-O-3,C-11452,M,Men's Sportswear,263.763,YES,Mobile,26376.3,O-3,Get $5 Cashback
C-11452-O-4,C-11452,M,Men's Sportswear,263.763,YES,Mobile,26376.3,O-4,Home Closeout
C-11454-O-8,C-11454,F,Home goods,275.548,NO,Mobile,27554.8,O-8,Loyalty Program Member
C-11454-O-10,C-11454,F,Home goods,275.548,NO,Mobile,27554.8,O-10,Shoe and Handbag sale
C-11454-O-11,C-11454,F,Home goods,275.548,NO,Mobile,27554.8,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11455-O-5,C-11455,F,Women's Sportwear,434.2,YES,Email,43420,O-5,Home Closeout & Lancome Gift with Purchase
C-11466-O-2,C-11466,M,Men's Career,161.584,NO,Mobile,16158.4,O-2,Free shipping on orders over $49
C-11466-O-4,C-11466,M,Men's Career,161.584,NO,Mobile,16158.4,O-4,Home Closeout
C-11466-O-9,C-11466,M,Men's Career,161.584,NO,Mobile,16158.4,O-9,Save 20% Career Suits
C-11468-O-11,C-11468,F,Home goods,412.514,YES,Mobile,41251.4,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11470-O-2,C-11470,F,Women's Career,255.922,NO,Email,25592.2,O-2,Free shipping on orders over $49
C-11470-O-3,C-11470,F,Women's Career,255.922,NO,Email,25592.2,O-3,Get $5 Cashback
C-11470-O-9,C-11470,F,Women's Career,255.922,NO,Email,25592.2,O-9,Save 20% Career Suits
C-11470-O-11,C-11470,F,Women's Career,255.922,NO,Email,25592.2,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11471-O-2,C-11471,F,Women's Shoes,311.795,NO,Direct Mail,31179.5,O-2,Free shipping on orders over $49
C-11471-O-3,C-11471,F,Women's Shoes,311.795,NO,Direct Mail,31179.5,O-3,Get $5 Cashback
C-11471-O-11,C-11471,F,Women's Shoes,311.795,NO,Direct Mail,31179.5,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11475-O-4,C-11475,M,Women's Shoes,361.337,NO,Mobile,36133.7,O-4,Home Closeout
C-11479-O-9,C-11479,M,Men's Career,221.877,NO,Mobile,22187.7,O-9,Save 20% Career Suits
C-11482-O-5,C-11482,F,Home goods,243.642,YES,Email,24364.2,O-5,Home Closeout & Lancome Gift with Purchase
C-11484-O-2,C-11484,F,Women's Sportwear,221.969,YES,Mobile,22196.9,O-2,Free shipping on orders over $49
C-11487-O-4,C-11487,M,Women's Career,467.096,NO,Direct Mail,46709.6,O-4,Home Closeout
C-11496-O-7,C-11496,M,Men's Sportswear,492.205,YES,Email,49220.5,O-7,Lancome Gift with Purchase
C-11502-O-3,C-11502,F,Women's Career,104.023,YES,Direct Mail,10402.3,O-3,Get $5 Cashback
C-11502-O-6,C-11502,F,Women's Career,104.023,YES,Direct Mail,10402.3,O-6,Home Closeout & Shoe and Handbag sale
C-11516-O-9,C-11516,M,Women's Sportwear,449.981,NO,Email,44998.1,O-9,Save 20% Career Suits
C-11517-O-3,C-11517,M,Women's Career,182.815,NO,Email,18281.5,O-3,Get $5 Cashback
C-11517-O-7,C-11517,M,Women's Career,182.815,NO,Email,18281.5,O-7,Lancome Gift with Purchase
C-11525-O-9,C-11525,F,Men's Sportswear,257.551,YES,Email,25755.1,O-9,Save 20% Career Suits
C-11525-O-10,C-11525,F,Men's Sportswear,257.551,YES,Email,25755.1,O-10,Shoe and Handbag sale
C-11525-O-11,C-11525,F,Men's Sportswear,257.551,YES,Email,25755.1,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11540-O-10,C-11540,M,Men's Casual,100.726,NO,Email,10072.6,O-10,Shoe and Handbag sale
C-11559-O-6,C-11559,F,Men's Sportswear,493.472,NO,Mobile,49347.2,O-6,Home Closeout & Shoe and Handbag sale
C-11559-O-12,C-11559,F,Men's Sportswear,493.472,NO,Mobile,49347.2,O-12,Womens Sweather Sale
C-11562-O-7,C-11562,M,Men's Career,372.656,NO,Mobile,37265.6,O-7,Lancome Gift with Purchase
C-11562-O-8,C-11562,M,Men's Career,372.656,NO,Mobile,37265.6,O-8,Loyalty Program Member
C-11562-O-9,C-11562,M,Men's Career,372.656,NO,Mobile,37265.6,O-9,Save 20% Career Suits
C-11571-O-12,C-11571,M,Men's Casual,290.087,YES,Email,29008.7,O-12,Womens Sweather Sale
C-11586-O-9,C-11586,F,Women's Shoes,138.218,YES,Mobile,13821.8,O-9,Save 20% Career Suits
C-11596-O-5,C-11596,M,Men's Career,279.826,YES,Mobile,27982.6,O-5,Home Closeout & Lancome Gift with Purchase
C-11596-O-9,C-11596,M,Men's Career,279.826,YES,Mobile,27982.6,O-9,Save 20% Career Suits
C-11601-O-11,C-11601,F,Women's Career,385.516,YES,Mobile,38551.6,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11605-O-7,C-11605,M,Women's Shoes,227.651,YES,Mobile,22765.1,O-7,Lancome Gift with Purchase
C-11609-O-3,C-11609,M,Men's Sportswear,218.933,NO,Direct Mail,21893.3,O-3,Get $5 Cashback
C-11618-O-10,C-11618,M,Women's Career,377.746,NO,Mobile,37774.6,O-10,Shoe and Handbag sale
C-11623-O-4,C-11623,M,Men's Casual,135.356,YES,Mobile,13535.6,O-4,Home Closeout
C-11623-O-6,C-11623,M,Men's Casual,135.356,YES,Mobile,13535.6,O-6,Home Closeout & Shoe and Handbag sale
C-11623-O-7,C-11623,M,Men's Casual,135.356,YES,Mobile,13535.6,O-7,Lancome Gift with Purchase
C-11623-O-12,C-11623,M,Men's Casual,135.356,YES,Mobile,13535.6,O-12,Womens Sweather Sale
C-11630-O-7,C-11630,M,Home goods,475.807,YES,Direct Mail,47580.7,O-7,Lancome Gift with Purchase
C-11660-O-2,C-11660,M,Men's Casual,376.643,NO,Email,37664.3,O-2,Free shipping on orders over $49
C-11668-O-2,C-11668,F,Home goods,291.647,NO,Email,29164.7,O-2,Free shipping on orders over $49
C-11682-O-1,C-11682,M,Men's Sportswear,236.457,NO,Email,23645.7,O-1,Anastasia Beverly Hills
C-11682-O-9,C-11682,M,Men's Sportswear,236.457,NO,Email,23645.7,O-9,Save 20% Career Suits
C-11684-O-3,C-11684,F,Men's Career,495.42,YES,Email,49542,O-3,Get $5 Cashback
C-11684-O-5,C-11684,F,Men's Career,495.42,YES,Email,49542,O-5,Home Closeout & Lancome Gift with Purchase
C-11684-O-10,C-11684,F,Men's Career,495.42,YES,Email,49542,O-10,Shoe and Handbag sale
C-11684-O-11,C-11684,F,Men's Career,495.42,YES,Email,49542,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11691-O-12,C-11691,F,Women's Shoes,275.034,NO,Direct Mail,27503.4,O-12,Womens Sweather Sale
C-11712-O-8,C-11712,M,Women's Sportwear,223.496,NO,Mobile,22349.6,O-8,Loyalty Program Member
C-11712-O-9,C-11712,M,Women's Sportwear,223.496,NO,Mobile,22349.6,O-9,Save 20% Career Suits
C-11729-O-7,C-11729,F,Women's Career,271.358,YES,Email,27135.8,O-7,Lancome Gift with Purchase
C-11737-O-8,C-11737,M,Home goods,236.343,YES,Email,23634.3,O-8,Loyalty Program Member
C-11760-O-6,C-11760,M,Women's Shoes,319.126,YES,Email,31912.6,O-6,Home Closeout & Shoe and Handbag sale
C-11764-O-4,C-11764,F,Women's Sportwear,306.867,YES,Mobile,30686.7,O-4,Home Closeout
C-11764-O-8,C-11764,F,Women's Sportwear,306.867,YES,Mobile,30686.7,O-8,Loyalty Program Member
C-11764-O-12,C-11764,F,Women's Sportwear,306.867,YES,Mobile,30686.7,O-12,Womens Sweather Sale
C-11768-O-7,C-11768,M,Women's Career,328.441,YES,Mobile,32844.1,O-7,Lancome Gift with Purchase
C-11768-O-8,C-11768,M,Women's Career,328.441,YES,Mobile,32844.1,O-8,Loyalty Program Member
C-11770-O-2,C-11770,M,Men's Casual,368.276,NO,Email,36827.6,O-2,Free shipping on orders over $49
C-11770-O-4,C-11770,M,Men's Casual,368.276,NO,Email,36827.6,O-4,Home Closeout
C-11772-O-4,C-11772,M,Men's Sportswear,188.338,YES,Email,18833.8,O-4,Home Closeout
C-11772-O-7,C-11772,M,Men's Sportswear,188.338,YES,Email,18833.8,O-7,Lancome Gift with Purchase
C-11777-O-6,C-11777,F,Women's Sportwear,256.375,YES,Mobile,25637.5,O-6,Home Closeout & Shoe and Handbag sale
C-11779-O-5,C-11779,M,Women's Career,428.928,NO,Email,42892.8,O-5,Home Closeout & Lancome Gift with Purchase
C-11779-O-7,C-11779,M,Women's Career,428.928,NO,Email,42892.8,O-7,Lancome Gift with Purchase
C-11785-O-5,C-11785,F,Women's Shoes,132.185,YES,Email,13218.5,O-5,Home Closeout & Lancome Gift with Purchase
C-11793-O-3,C-11793,M,Women's Shoes,463.67,YES,Mobile,46367,O-3,Get $5 Cashback
C-11793-O-6,C-11793,M,Women's Shoes,463.67,YES,Mobile,46367,O-6,Home Closeout & Shoe and Handbag sale
C-11793-O-11,C-11793,M,Women's Shoes,463.67,YES,Mobile,46367,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11808-O-2,C-11808,F,Women's Sportwear,489.554,YES,Mobile,48955.4,O-2,Free shipping on orders over $49
C-11808-O-4,C-11808,F,Women's Sportwear,489.554,YES,Mobile,48955.4,O-4,Home Closeout
C-11808-O-11,C-11808,F,Women's Sportwear,489.554,YES,Mobile,48955.4,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-11812-O-9,C-11812,F,Women's Shoes,365.954,NO,Mobile,36595.4,O-9,Save 20% Career Suits
C-11814-O-2,C-11814,F,Men's Casual,123.374,NO,Mobile,12337.4,O-2,Free shipping on orders over $49
C-11814-O-3,C-11814,F,Men's Casual,123.374,NO,Mobile,12337.4,O-3,Get $5 Cashback
C-11814-O-7,C-11814,F,Men's Casual,123.374,NO,Mobile,12337.4,O-7,Lancome Gift with Purchase
C-11814-O-8,C-11814,F,Men's Casual,123.374,NO,Mobile,12337.4,O-8,Loyalty Program Member
