sku,shelf,unitsPerFacing
SU0217,A006,6
SU0218,A006,6
SU0219,A006,6
SU0220,A006,6
SU0221,A006,6
SU0222,A006,6
SU0223,A006,6
SU0224,A006,6
SU0225,A006,6
SU0226,A006,6
SU0227,A006,6
SU0228,A006,6
SU0229,A006,6
SU0230,A006,6
SU0231,A006,6
SU0232,A006,6
SU0233,A006,6
SU0234,A006,6
SU0235,A006,6
SU0236,A006,6
